author,title,sentence,sentence_nr,words,kind
"Twain, Mark",The Adventures of Tom Sawyer,A good generous prayer it was and went into details it pleaded for the church and the little children of the church for the other churches of the village for the village itself for the county for the State for the State officers for the United States for the churches of the United States for Congress for the President for the officers of the Government for poor sailors tossed by stormy seas for the oppressed millions groaning under the heel of European monarchies and Oriental despotisms for such as have the light and the good tidings and yet have not eyes to see nor ears to hear withal for the heathen in the far islands of the sea and closed with a supplication that the words he was about to speak might find grace and favor and be as seed sown in fertile ground yielding in time a grateful harvest of good,605,United States,location
"Twain, Mark",The Adventures of Tom Sawyer,A good generous prayer it was and went into details it pleaded for the church and the little children of the church for the other churches of the village for the village itself for the county for the State for the State officers for the United States for the churches of the United States for Congress for the President for the officers of the Government for poor sailors tossed by stormy seas for the oppressed millions groaning under the heel of European monarchies and Oriental despotisms for such as have the light and the good tidings and yet have not eyes to see nor ears to hear withal for the heathen in the far islands of the sea and closed with a supplication that the words he was about to speak might find grace and favor and be as seed sown in fertile ground yielding in time a grateful harvest of good,605,Europe,location
"Twain, Mark",The Adventures of Tom Sawyer,So thought every harassed hampered respectable boy in St Petersburg,743,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Away off in the flaming sunshine Cardiff Hill lifted its soft green sides through a shimmering veil of heat tinted with the purple of distance a few birds floated on lazy wing high in the air no other living thing was visible but some cows and they were asleep,935,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,Half an hour later he was disappearing behind the Douglas mansion on the summit of Cardiff Hill and the schoolhouse was hardly distinguishable away off in the valley behind him,1072,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,Nobetter still he would join the Indians and hunt buffaloes and go on the warpath in the mountain ranges and the trackless great plains of the Far West and away in the future come back a great chief bristling with feathers hideous with paint and prance into Sundayschool some drowsy summer morning with a bloodcurdling warwhoop and sear the eyeballs of all his companions with unappeasable envy,1093,India,location
"Twain, Mark",The Adventures of Tom Sawyer,Who comes here into Sherwood Forest without my pass Guy of Guisborne wants no mans pass,1143,Sherwood Forest,location
"Twain, Mark",The Adventures of Tom Sawyer,They said they would rather be outlaws a year in Sherwood Forest than President of the United States forever,1175,United States,location
"Twain, Mark",The Adventures of Tom Sawyer,They said they would rather be outlaws a year in Sherwood Forest than President of the United States forever,1175,Sherwood Forest,location
"Twain, Mark",The Adventures of Tom Sawyer,The boy remained as dismal as a hearse,1613,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,The next instant he was out and going on like an Indian yelling laughing chasing boys jumping over the fence at risk of life and limb throwing handsprings standing on his headdoing all the heroic things he could conceive of and keeping a furtive eye out all the while to see if Becky Thatcher was noticing,1685,India,location
"Twain, Mark",The Adventures of Tom Sawyer,Three miles below St Petersburg at a point where the Mississippi River was a trifle over a mile wide there was a long narrow wooded island with a shallow bar at the head of it and this offered well as a rendezvous,1708,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Three miles below St Petersburg at a point where the Mississippi River was a trifle over a mile wide there was a long narrow wooded island with a shallow bar at the head of it and this offered well as a rendezvous,1708,Mississippi River,location
"Twain, Mark",The Adventures of Tom Sawyer,Three miles below St Petersburg at a point where the Mississippi River was a trifle over a mile wide there was a long narrow wooded island with a shallow bar at the head of it and this offered well as a rendezvous,1708,Mississippi,location
"Twain, Mark",The Adventures of Tom Sawyer,So Jacksons Island was chosen,1710,Jacksons Island,location
"Twain, Mark",The Adventures of Tom Sawyer,It was but a small strain on his imagination to remove Jacksons Island beyond eyeshot of the village and so he looked his last with a broken and satisfied heart,1764,Jacksons Island,location
"Twain, Mark",The Adventures of Tom Sawyer,So they inwardly resolved that so long as they remained in the business their piracies should not again be sullied with the crime of stealing,1821,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,And he also put into the hat certain schoolboy treasures of almost inestimable valueamong them a lump of chalk an Indiarubber ball three fishhooks and one of that kind of marbles known as a sure nough crystal,1914,India,location
"Twain, Mark",The Adventures of Tom Sawyer,CHAPTER XV A few minutes later Tom was in the shoal water of the bar wading toward the Illinois shore,1916,Illinois,location
"Twain, Mark",The Adventures of Tom Sawyer,He went on listening and gathered by odds and ends that it was conjectured at first that the boys had got drowned while taking a swim then the small raft had been missed next certain boys said the missing lads had promised that the village should hear something soon the wiseheads had put this and that together and decided that the lads had gone off on that raft and would turn up at the next town below presently but toward noon the raft had been found lodged against the Missouri shore some five or six miles below the villageand then hope perished they must be drowned else hunger would have driven them home by nightfall if not sooner,1966,Missouri,location
"Twain, Mark",The Adventures of Tom Sawyer,Presently without a parting word Joe began to wade off toward the Illinois shore,2067,Illinois,location
"Twain, Mark",The Adventures of Tom Sawyer,This was to knock off being pirates for a while and be Indians for a change,2198,India,location
"Twain, Mark",The Adventures of Tom Sawyer,They assembled in camp toward suppertime hungry and happy but now a difficulty arosehostile Indians could not break the bread of hospitality together without first making peace and this was a simple impossibility without smoking a pipe of peace,2203,India,location
"Twain, Mark",The Adventures of Tom Sawyer,Two of the savages almost wished they had remained pirates,2205,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,They had paddled over to the Missouri shore on a log at dusk on Saturday landing five or six miles below the village they had slept in the woods at the edge of the town till nearly daylight and had then crept through back lanes and alleys and finished their sleep in the gallery of the church among a chaos of invalided benches,2257,Missouri,location
"Twain, Mark",The Adventures of Tom Sawyer,You could think to come all the way over here from Jacksons Island in the night to laugh at our troubles and you could think to fool me with a lie about a dream but you couldnt ever think to pity us and save us from sorrow,2452,Jacksons Island,location
"Twain, Mark",The Adventures of Tom Sawyer,Two stanzas of it will do A MISSOURI MAIDENS FAREWELL TO ALABAMA Alabama goodbye,2651,Missouri,location
"Twain, Mark",The Adventures of Tom Sawyer,Two stanzas of it will do A MISSOURI MAIDENS FAREWELL TO ALABAMA Alabama goodbye,2651,Alabama,location
"Twain, Mark",The Adventures of Tom Sawyer,Welcome and home were mine within this State Whose vales I leavewhose spires fade fast from me And cold must be mine eyes and heart and tete When dear Alabama they turn cold on thee,2657,Alabama,location
"Twain, Mark",The Adventures of Tom Sawyer,Now the master mellow almost to the verge of geniality put his chair aside turned his back to the audience and began to draw a map of America on the blackboard to exercise the geography class upon,2670,America,location
"Twain, Mark",The Adventures of Tom Sawyer,He promised to abstain from smoking chewing and profanity as long as he remained a member,2686,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,Even the Glorious Fourth was in some sense a failure for it rained hard there was no procession in consequence and the greatest man in the world as Tom supposed Mr Benton an actual United States Senator proved an overwhelming disappointmentfor he was not twentyfive feet high nor even anywhere in the neighborhood of it,2706,United States,location
"Twain, Mark",The Adventures of Tom Sawyer,Moreover he wanted to assure himself that Huck had remained discreet,2744,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,One of those omniscient and aweinspiring marvels a detective came up from St Louis moused around shook his head looked wise and made that sort of astounding success which members of that craft usually achieve,2887,St Louis,location
"Twain, Mark",The Adventures of Tom Sawyer,Well weve tried Jacksons Island a little and we can try it again some time and theres the old hanted house up the StillHouse branch and theres lots of deadlimb treesdead loads of em Is it under all of them How you talk,2919,Jacksons Island,location
"Twain, Mark",The Adventures of Tom Sawyer,But if you was to go to Europe youd see a raft of em hopping around,2936,Europe,location
"Twain, Mark",The Adventures of Tom Sawyer,I reckon maybe well tackle the old tree thats over yonder on Cardiff Hill back of the widows,2989,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,The boys gazed awhile half expecting to see a blue light flit past a window then talking in a low tone as befitted the time and the circumstances they struck far off to the right to give the haunted house a wide berth and took their way homeward through the woods that adorned the rearward side of Cardiff Hill,3069,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,Whos Robin Hood Why he was one of the greatest men that was ever in Englandand the best,3090,England,location
"Twain, Mark",The Adventures of Tom Sawyer,He could lick any man in England with one hand tied behind him and he could take his yew bow and plug a tencent piece every time a mile and a half,3101,England,location
"Twain, Mark",The Adventures of Tom Sawyer,As the sun began to sink into the west they took their way homeward athwart the long shadows of the trees and soon were buried from sight in the forests of Cardiff Hill,3109,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,Then for Texas,3161,Texas,location
"Twain, Mark",The Adventures of Tom Sawyer,When its finishedthen Texas,3224,Texas,location
"Twain, Mark",The Adventures of Tom Sawyer,But the night remained clear and Huck closed his watch and retired to bed in an empty sugar hogshead about twelve,3347,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,Sid was sick and had to miss the fun Mary remained at home to entertain him,3433,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,They went straight ahead then until they came to the path that led up Cardiff Hill this they took,3509,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,The Cardiff Hill episode sank into instant insignificance the burglars were forgotten horses were saddled skiffs were manned the ferryboat ordered out and before the horror was half an hour old two hundred men were pouring down highroad and river toward the cave,3725,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,The village of St Petersburg still mourned,3958,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Tom lay upon a sofa with an eager auditory about him and told the history of the wonderful adventure putting in many striking additions to adorn it withal and closed with a description of how he left Becky and went on an exploring expedition how he followed two avenues as far as his kiteline would reach how he followed a third to the fullest stretch of the kiteline and was about to turn back when he glimpsed a faroff speck that looked like daylight dropped the line and groped toward it pushed his head and shoulders through a small hole and saw the broad Mississippi rolling by,3973,Mississippi,location
"Twain, Mark",The Adventures of Tom Sawyer,At home Tom learned of the Cardiff Hill event also that the ragged mans body had eventually been found in the river near the ferrylanding he had been drowned while trying to escape perhaps,3984,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,That drop was falling when the Pyramids were new when Troy fell when the foundations of Rome were laid when Christ was crucified when the,4015,Rome,location
"Twain, Mark",The Adventures of Tom Sawyer,e Conqueror created the British empire when Columbus sailed when the massacre at Lexington was news,4016,Lexington,location
"Twain, Mark",The Adventures of Tom Sawyer,If it hadnt ben for me hed be down in Texas now all right,4043,Texas,location
"Twain, Mark",The Adventures of Tom Sawyer,CHAPTER XXXV THE reader may rest satisfied that Toms and Hucks windfall made a mighty stir in the poor little village of St Petersburg,4288,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Every haunted  house in St Petersburg and the neighboring villages was dissected plank by plank and its foundations dug up and ransacked for hidden treasureand not by boys but menpretty grave unromantic men too some of them,4291,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,When Becky told her father in strict confidence how Tom had taken her whipping at school the Judge was visibly moved and when she pleaded grace for the mighty lie which Tom had told in order to shift that whipping from her shoulders to his own the Judge said with a fine outburst that it was a noble a generous a magnanimous liea lie that was worthy to hold up its head and march down through history breast to breast with George Washingtons lauded Truth about the hatchet,4301,Washington,location
"Twain, Mark",Adventures of Huckleberry Finn,by CairoSwimming,4434,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,Farm in ArkansawInterior,4438,Arkansaw,location
"Twain, Mark",Adventures of Huckleberry Finn,ComparisonsJim,4470,Paris,location
"Twain, Mark",Adventures of Huckleberry Finn,The Trip to EnglandThe,4489,England,location
"Twain, Mark",Adventures of Huckleberry Finn,In a Fix Hello Whats Up The Wreck We turned in and Slept Turning over the Truck Solomon and his Million Wives The story of Sollermun We Would Sell the Raft Among the Snags Asleep on the Raft Something being Raftsman Boy thats a Lie Here I is Huck Climbing up the Bank Whos There Buck It made Her look Spidery They got him out and emptied Him The House Col Grangerford Young Harney Shepherdson Miss Charlotte And asked me if I Liked Her Behind the Woodpile Hiding Daytimes And Dogs aComing By rights I am a Duke I am the Late Dauphin Tail Piece On the Raft The King as Juliet Courting on the Sly A Pirate for Thirty Years Another little Job Practizing Hamlets Soliloquy Gimme a Chaw A Little Monthly Drunk The Death of Boggs Sherburn steps out A Dead Head He shed Seventeen Suits Tragedy Their Pockets Bulged Henry the Eighth in Boston Harbor Harmless Adolphus He fairly emptied that Young Fellow Alas our Poor Brother You Bet it is Leaking Making up the Deffisit Going for him The Doctor The Bag of Money The Cubby Supper with the HareLip Honest Injun The Duke looks under the Bed Huck takes the Money A Crack in the Diningroom Door The Undertaker He had a Rat Was you in my Room Jawing In Trouble Indignation How to Find Them He Wrote Hannah with the Mumps The Auction The True Brothers The Doctor leads Huck The Duke Wrote Gentlemen Gentlemen,4561,Boston Harbor,location
"Twain, Mark",Adventures of Huckleberry Finn,In a Fix Hello Whats Up The Wreck We turned in and Slept Turning over the Truck Solomon and his Million Wives The story of Sollermun We Would Sell the Raft Among the Snags Asleep on the Raft Something being Raftsman Boy thats a Lie Here I is Huck Climbing up the Bank Whos There Buck It made Her look Spidery They got him out and emptied Him The House Col Grangerford Young Harney Shepherdson Miss Charlotte And asked me if I Liked Her Behind the Woodpile Hiding Daytimes And Dogs aComing By rights I am a Duke I am the Late Dauphin Tail Piece On the Raft The King as Juliet Courting on the Sly A Pirate for Thirty Years Another little Job Practizing Hamlets Soliloquy Gimme a Chaw A Little Monthly Drunk The Death of Boggs Sherburn steps out A Dead Head He shed Seventeen Suits Tragedy Their Pockets Bulged Henry the Eighth in Boston Harbor Harmless Adolphus He fairly emptied that Young Fellow Alas our Poor Brother You Bet it is Leaking Making up the Deffisit Going for him The Doctor The Bag of Money The Cubby Supper with the HareLip Honest Injun The Duke looks under the Bed Huck takes the Money A Crack in the Diningroom Door The Undertaker He had a Rat Was you in my Room Jawing In Trouble Indignation How to Find Them He Wrote Hannah with the Mumps The Auction The True Brothers The Doctor leads Huck The Duke Wrote Gentlemen Gentlemen,4561,Boston,location
"Twain, Mark",Adventures of Huckleberry Finn,A pretty long Blessing Traveling By Rail Vittles A Simple Job Witches Getting Wood One of the Best Authorities The BreakfastHorn Smouching the Knives Going down the LightningRod Stealing spoons Tom advises a Witch Pie The RubbagePile Missus deys a Sheet Gone In a Tearing Way One of his Ancestors Jims Coat of Arms A Tough Job Buttons on their Tails Irrigation Keeping off Dull Times Sawdust Diet Trouble is Brewing Fishing Every one had a Gun Tom caught on a Splinter Jim advises a Doctor The Doctor Uncle Silas in Danger Old Mrs Hotchkiss Aunt Sally talks to Huck Tom Sawyer wounded The Doctor speaks for Jim Tom rose square up in Bed Hand out them Letters Out of Bondage Toms Liberality Yours Truly EXPLANATORY In this book a number of dialects are used to wit the Missouri negro dialect the extremest form of the backwoods Southwestern dialect the ordinary Pike County dialect and four modified varieties of this last,4564,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,A pretty long Blessing Traveling By Rail Vittles A Simple Job Witches Getting Wood One of the Best Authorities The BreakfastHorn Smouching the Knives Going down the LightningRod Stealing spoons Tom advises a Witch Pie The RubbagePile Missus deys a Sheet Gone In a Tearing Way One of his Ancestors Jims Coat of Arms A Tough Job Buttons on their Tails Irrigation Keeping off Dull Times Sawdust Diet Trouble is Brewing Fishing Every one had a Gun Tom caught on a Splinter Jim advises a Doctor The Doctor Uncle Silas in Danger Old Mrs Hotchkiss Aunt Sally talks to Huck Tom Sawyer wounded The Doctor speaks for Jim Tom rose square up in Bed Hand out them Letters Out of Bondage Toms Liberality Yours Truly EXPLANATORY In this book a number of dialects are used to wit the Missouri negro dialect the extremest form of the backwoods Southwestern dialect the ordinary Pike County dialect and four modified varieties of this last,4564,Pike County,location
"Twain, Mark",Adventures of Huckleberry Finn,HUCKLEBERRY FINN Scene The Mississippi Valley Time Forty to fifty years ago CHAPTER I,4568,Mississippi,location
"Twain, Mark",Adventures of Huckleberry Finn,And next time Jim told it he said they rode him down to New Orleans and after that every time he told it he spread it more and more till by and by he said they rode him all over the world and tired him most to death and his back was all over saddleboils,4679,New Orleans,location
"Twain, Mark",Adventures of Huckleberry Finn,If he tells them to build a palace forty miles long out of dimonds and fill it full of chewinggum or whatever you want and fetch an emperors daughter from China for you to marry theyve got to do itand theyve got to do it before sunup next morning too,4832,China,location
"Twain, Mark",Adventures of Huckleberry Finn,And whats moreif I was one of them I would see a man in Jericho before I would drop my business and come to him for the rubbing of an old tin lamp,4835,Jericho,location
"Twain, Mark",Adventures of Huckleberry Finn,I took up a book and begun something about General Washington and the wars,4972,Washington,location
"Twain, Mark",Adventures of Huckleberry Finn,So he watched out for me one day in the spring and catched me and took me up the river about three mile in a skiff and crossed over to the Illinois shore where it was woody and there warnt no houses but an old log hut in a place where the timber was so thick you couldnt find it if you didnt know where it was,5043,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,Jacksons Island is good enough for me I know that island pretty well and nobody ever comes there,5258,Jacksons Island,location
"Twain, Mark",Adventures of Huckleberry Finn,Jacksons Islands the place,5260,Jacksons Island,location
"Twain, Mark",Adventures of Huckleberry Finn,I rose up and there was Jacksons Island about two mile and a half down stream heavy timbered and standing up out of the middle of the river big and dark and solid like a steamboat without any lights,5294,Jacksons Island,location
"Twain, Mark",Adventures of Huckleberry Finn,I shot past the head at a ripping rate the current was so swift and then I got into the dead water and landed on the side towards the Illinois shore,5297,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,I changed to the Illinois edge of the island to see what luck I could have and I warnt disappointed,5326,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,They turned around the foot of the island and started up the channel on the Missouri side under steam and booming once in a while as they went,5356,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,When they got abreast the head of the island they quit shooting and dropped over to the Missouri shore and went home to the town,5358,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,So when it was good and dark I slid out from shore before moonrise and paddled over to the Illinois bankabout a quarter of a mile,5387,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,De river wuz arisin en dey wuz a good current so I recknd at by fo in de mawnin Id be twentyfive mile down de river en den Id slip in jis bfo daylight en swim asho en take to de woods on de Illinois side,5494,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,We tramped and clumb around all over it and by and by found a good big cavern in the rock most up to the top on the side towards Illinois,5577,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,Chickens knows when its gwyne to rain en so do de birds chile,5599,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,The water was three or four foot deep on the island in the low places and on the Illinois bottom,5601,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,On that side it was a good many miles wide but on the Missouri side it was the same old distance acrossa half a milebecause the Missouri shore was just a wall of high bluffs,5602,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,I paddled over to the Illinois shore and drifted down most a half a mile doing it,5643,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,We couldnt handle him of course he would a flung us into Illinois,5690,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,It was as big a fish as was ever catched in the Mississippi I reckon,5695,Mississippi,location
"Twain, Mark",Adventures of Huckleberry Finn,I started up the Illinois shore in the canoe just after dark,5710,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,So then they put it on him you see and while they was full of it next day back comes old Finn and went boohooing to Judge Thatcher to get money to hunt for the nigger all over Illinois with,5761,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,o I was talking with an old couple that lives next door in the log shanty and they happened to say hardly anybody ever goes to that island over yonder that they call Jacksons Island,5779,Jacksons Island,location
"Twain, Mark",Adventures of Huckleberry Finn,This is St Petersburg,5850,St Petersburg,location
"Twain, Mark",Adventures of Huckleberry Finn,If a boat was to come along we was going to take to the canoe and break for the Illinois shore and it was well a boat didnt come for we hadnt ever thought to put the gun in the canoe or a fishingline or anything to eat,5899,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,When the first streak of day began to show we tied up to a towhead in a big bend on the Illinois side and hacked off cottonwood branches with the hatchet and covered up the raft with them so she looked like there had been a cavein in the bank there,5905,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,We had mountains on the Missouri shore and heavy timber on the Illinois side and the channel was down the Missouri shore at that place so we warnt afraid of anybody running across us,5907,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,We had mountains on the Missouri shore and heavy timber on the Illinois side and the channel was down the Missouri shore at that place so we warnt afraid of anybody running across us,5907,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,We laid there all day and watched the rafts and steamboats spin down the Missouri shore and upbound steamboats fight the big river in the middle,5908,Missouri,location
"Twain, Mark",Adventures of Huckleberry Finn,The fifth night we passed St Louis and it was like the whole world lit up,5922,St Louis,location
"Twain, Mark",Adventures of Huckleberry Finn,In St Petersburg they used to say there was twenty or thirty thousand people in St Louis but I never believed it till I see that wonderful spread of lights at two oclock that still night,5923,St Petersburg,location
"Twain, Mark",Adventures of Huckleberry Finn,In St Petersburg they used to say there was twenty or thirty thousand people in St Louis but I never believed it till I see that wonderful spread of lights at two oclock that still night,5923,St Louis,location
"Twain, Mark",Adventures of Huckleberry Finn,The fifth night below St Louis we had a big storm after midnight with a power of thunder and lightning and the rain poured down in a solid sheet,5937,St Louis,location
"Twain, Mark",Adventures of Huckleberry Finn,Watchman your grandmother I says there aint nothing to watch but the texas and the pilothouse and do you reckon anybodys going to resk his life for a texas and a pilothouse such a night as this when its likely to break up and wash off down the river any minute,5952,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,We went sneaking down the slope of it to labboard in the dark towards the texas feeling our way slow with our feet and spreading our hands out to fend off the guys for it was so dark we couldnt see no sign of them,5969,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,Pretty soon we struck the forward end of the skylight and clumb on to it and the next step fetched us in front of the captains door which was open and by Jimminy away down through the texashall we see a light,5970,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,So I dropped on my hands and knees in the little passage and crept aft in the dark till there warnt but one stateroom betwixt me and the crosshall of the texas,5981,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,We struck for the stern of the texas and found it and then scrabbled along forwards on the skylight hanging on from shutter to shutter for the edge of the skylight was in the water,6050,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,When we was three or four hundred yards downstream we see the lantern show like a little spark at the texas door for a second and we knowed by that that the rascals had missed their boat and was beginning to understand that they was in just as much trouble now as Jim Turner was,6074,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,He said that when I went in the texas and he crawled back to get on the raft and found her gone he nearly died because he judged it was all up with  him  anyway it could be fixed for if he didnt get saved he would get drownded and if he did get saved whoever saved him would send him back home so as to get the reward and then Miss Watson would sell him South sure,6150,Texas,location
"Twain, Mark",Adventures of Huckleberry Finn,Does you know bout dat chile dat he uz gwyne to chop in two Yes the widow told me all about it,6181,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,Dahs de stump dahdats one er de women heahs youdats de yuther one Is Sollermun en dish yer dollar bills de chile,6184,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,Dats de way Sollermun was gwyne to do wid de chile,6189,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,En what use is a half a chile,6191,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,De spute warnt bout a half a chile de spute was bout a whole chile en de man dat think he kin settle a spute bout a whole chile wid a half a chile doan know enough to come in outn de rain,6197,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,He  as soon chop a chile in two as a cat,6209,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,A chile er two mo er less warnt no consekens to Sollermun dad fatch him,6211,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,I told about Louis Sixteenth that got his head cut off in France long time ago and about his little boy the dolphin that would a been a king but they took and shut him up in jail and some say he died there,6216,France,location
"Twain, Mark",Adventures of Huckleberry Finn,But some says he got out and got away and come to America,6218,America,location
"Twain, Mark",Adventures of Huckleberry Finn,We judged that three nights more would fetch us to Cairo at the bottom of Illinois where the Ohio River comes in and that was what we was after,6251,Illinois,location
"Twain, Mark",Adventures of Huckleberry Finn,We judged that three nights more would fetch us to Cairo at the bottom of Illinois where the Ohio River comes in and that was what we was after,6251,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,Lemme look at you chile lemme feel o you,6309,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,We talked about Cairo and wondered whether we would know it when we got to it,6374,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,I said paddle ashore the first time a light showed and tell them pap was behind coming along with a tradingscow and was a green hand at the business and wanted to know how far it was to Cairo,6380,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,Every time he danced around and says Dahs Cairo it went through me like a shot and I thought if it  was  Cairo I reckoned I would die of miserableness,6404,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,Dats de good ole Cairo at las I jis knows it,6421,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,I tell you chile Ispec it save ole Jimole Jim aint going to forgit you for dat honey,6500,Chile,location
"Twain, Mark",Adventures of Huckleberry Finn,I ranged up and says Mister is that town Cairo Cairo,6509,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,Jim was awful disappointed but I said never mind Cairo would be the next place I reckoned,6515,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,No high ground about Cairo Jim said,6517,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,I says Maybe we went by Cairo in the fog that night,6522,Cairo,location
"Twain, Mark",Adventures of Huckleberry Finn,So it was all up with Cairo,6530,Cairo,location
